id,employee,gender,age,since_first_date,cust_type,res_index,for_idx,sp_index,channel,res_code,active,income,cate,saving_account,guarantees,payroll,junior,mortgage,shortdeposit,mediumdeposit,longdeposit,pensions,taxes,securities,homeacc,directdebit,fund,eaccount,loans,credit_card
1379128,N,H,32,6,1,S,N,,KFA,28,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379127,N,V,51,6,1,S,N,,KFA,28,1,80657.97,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379126,N,V,47,6,1,S,N,,KFA,28,1,130779.96,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379101,N,V,27,6,1,S,S,,KHK,28,1,,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379092,N,V,27,6,1,S,N,,KHK,41,1,,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379091,N,V,86,6,1,S,N,,KHK,20,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379078,N,V,41,13,1,S,N,,RED,8,1,85904.46,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379075,N,V,54,6,1,S,N,,KHK,20,1,,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379057,N,H,32,6,1,S,N,,KHK,36,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379053,N,H,56,6,1,S,N,,KHK,41,1,140577.3,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379052,N,V,38,6,1,S,N,,KHL,21,1,52153.44,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379046,N,V,28,6,1,S,N,,KHK,36,1,231469.62,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379044,N,V,39,6,1,S,N,,KHK,10,1,56438.13,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379038,N,V,42,6,1,S,S,,KHL,28,0,80783.67,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379021,N,V,40,6,1,S,N,,KHL,28,0,312332.1,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379019,N,H,39,6,1,S,N,,KHL,8,1,99989.82,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1379002,N,V,36,6,1,S,N,,KHK,12,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378983,N,V,27,6,1,S,N,,KAT,28,1,132050.88,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378951,N,V,42,6,1,S,N,,KHL,28,1,108880.92,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378927,N,V,68,6,1,S,N,,KHL,21,0,100037.13,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378922,N,H,29,6,1,S,N,,KHK,3,1,117731.43,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378919,N,H,25,6,1,S,S,,KHK,31,1,,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378909,N,H,37,6,1,S,N,,KHK,45,1,45203.04,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378904,N,V,33,6,1,S,N,,KHL,3,1,72831.18,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378902,N,H,39,6,1,S,N,,KHK,28,1,292418.07,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378897,N,V,42,6,1,S,N,,KHL,9,1,147029.01,01 - TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1378875,N,H,45,6,1,S,N,,KHL,28,1,263954.55,02 - PARTICULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
